歷 A-V-1 誰的歷史？誰留下的史料？誰寫的歷史？,地 Aa-V-1 地理學的傳統與觀點。,公 Aa-V-1 公民身分如何演變？為什麼從特定群體，漸次擴張至普遍性身分？
歷 Ba-V-1 我群界定、原住民與原住民族的分類。,地 Aa-V-2 研究問題的發想。,公 Aa-V-2 我國的公民權利如何發展與落實？
歷 Ba-V-2 當代原住民族的處境與權利伸張。,地 Aa-V-3 資料的來源與蒐集。,【延伸探究】為什麼我國憲法、原住民族基本法賦予原住民族具有民族的地位和自治的權利？對於原住民族的公民身分有什麼意義？
歷 Bb-V-1 早期移民的歷史背景及其影響。,地 Aa-V-4 資料整理、分析與展示。,公 Ab-V-1 為什麼人是權利主體，且享有平等的權利能力？為什麼在自然人之外，還有法人的概念？
歷 Bb-V-2 戰後東來的各方移民。,地 Aa-V-5 問題探究：解決問題的策略與步驟。,公 Ab-V-2 為什麼部落、原住民族各民族、原住民族都有權利能力？
歷 Ca-V-1 臺灣歷史上的商貿活動。,地 Ab-V-1 地理資訊的組成與特性。,公 Ab-V-3 民主國家中，人民或政府如何才會被賦予法律上的義務或責任( 包括學生參與校園民主及學生自治的責任 )？
歷 Ca-V-2 臺灣歷史上的土地問題。,地 Ab-V-2 地理資訊系統的功能。,公 Ab-V-4 國家的權力行使，為什麼必須權責相符？
歷 Cb-V-1 原住民族的語言、傳統信仰與祭儀。,地 Ab-V-3 問題探究：地理資訊的生活應用。,【延伸探究】高級中等教育法對學生在學校的權利與義務有何規範？對於高中生的影響為何？高中學生在學校還有其他權利與責任嗎？
歷 Cb-V-2 多元的信仰與祭祀活動。,地 Ac-V-1 地圖本質與要素。,公 Ac-V-1 國家主權和人民的日常生活有什麼關係？
歷 Cb-V-3 從傳統到現代的文學與藝術。,地 Ac-V-2 地圖種類及其用途。,公 Ac-V-2 為什麼公民身分是現代國家認同的基礎？
歷 Da-V-1 從地方到中央。,地 Ac-V-3 問題探究：地圖判讀與使用。,公 Ac-V-3 為什麼多元身分認同的建構、肯認與保障，和國家政策關係密切？
歷 Da-V-2 國際局勢與臺灣地位。,地 Ba-V-1 氣候要素。,公 Ad-V-1 國際人權公約與相關國際組織(包括聯合國與非政府組織等)如何促成普世人權的實現？
歷 Da-V-3 教育、語言與基礎建設。,地 Ba-V-2 大氣環流與洋流。,公 Ad-V-2 我國如何將國際人權公約的相關主張融入法律制度中？
