級別,單字,中文
1,a/an,一個/一個
1,ability,能力
1,able,有能力的
1,about,關於
1,above,多於
1,abroad,國外
1,across,穿過
1,act,行為
1,action,行動
1,actor/actress,男演員/女演員
1,add,添加
1,afraid,害怕的
1,after,後
1,afternoon,午安
1,again,再次
1,age,年齡
1,ago,前
1,agree,同意
1,air,空氣
1,airplane/plane,飛機/飛機
1,airport,飛機場
1,all,全部
1,allow,允許
1,almost,幾乎
1,along,沿著
1,already,已經
1,also,也
1,although,雖然
1,always,總是
1,am/a.m.,上午/上午
1,and,和
1,angry,生氣的
1,animal,動物
1,another,其他
1,answer,回答
1,ant,螞蟻
1,any,任何
1,anybody/anyone,任何人/任何人
1,anything,任何事物
1,apartment,公寓
1,appear,出現
1,apple,蘋果
1,area,區域
1,arm,手臂
1,around,大約
1,arrive,到達
1,art,藝術
1,as,作為
1,ask,問
1,at,在
1,attack,攻擊
1,aunt,阿姨
1,away,離開
1,baby,嬰兒
1,back,後退
1,bad,壞的
1,bag,包包
1,ball,球
1,banana,香蕉
1,band,樂團
1,bank,銀行
1,baseball,棒球
1,basket,籃子
1,basketball,籃球
1,bat,蝙蝠
1,bath,洗澡
1,bathroom,浴室
1,be,是
1,beach,海灘
1,bean,豆
1,bear,熊
1,beautiful,美麗的
1,because,因為
1,become,變得
1,bed,床
1,bedroom,臥室
1,bee,蜜蜂
1,beef,牛肉
1,before,前
1,begin,開始
1,behind,在後面
1,believe,相信
1,bell,鐘
1,belong,屬於
1,below,以下
1,belt,腰帶
1,bench,長椅
1,beside,旁
1,best,最好的
1,between,之間
1,bicycle/bike,自行車/自行車
1,big,大的
1,bird,鳥
1,bite,咬
1,black,黑色的
1,blind,瞎的
1,block,堵塞
1,blow,吹
1,blue,藍色的
1,boat,船
1,body,身體
1,book,書
1,bored,無聊的
1,boring,無聊的
1,born,出生
1,borrow,借
1,boss,老闆
1,both,兩個都
1,bottle,瓶子
1,bottom,底部
1,bow,弓
1,bowl,碗
1,box,盒子
1,boy,男生
1,brave,勇敢的
1,bread,麵包
1,break,休息
1,breakfast,早餐
1,bridge,橋
1,bright,明亮的
1,bring,帶來
1,brother,兄弟
1,brown,棕色的
1,bug,漏洞
1,build,建造
1,bus,公車
1,business,商業
1,busy,忙碌的
1,but,但
1,butter,奶油
1,butterfly,蝴蝶
1,button,按鈕
1,buy,買
1,by,經過
1,cake,蛋糕
1,call,稱呼
1,camera,相機
1,camp,營
1,can,能
1,cap,帽子
1,car,車
1,card,卡片
1,care,關心
1,careful,小心
1,carrot,紅蘿蔔
1,carry,攜帶
1,case,案件
1,cat,貓
1,catch,抓住
1,celebrate,慶祝
1,cellphone,智慧型手機
1,cent,分
1,center,中心
1,certain,肯定
1,chair,椅子
1,chance,機會
1,change,改變
1,cheap,便宜的
1,check,查看
1,cheese,起司
1,chicken,雞
1,child,孩子
1,chocolate,巧克力
1,choice,選擇
1,choose,選擇
1,church,教會
1,circle,圓圈
1,city,城市
1,class,班級
1,clean,乾淨的
1,clear,清除
1,clerk,職員
1,climb,爬
1,clock,鐘
1,close,關閉
1,clothes,衣服
1,cloud,雲
1,club,俱樂部
1,coat,外套
1,coffee,咖啡
1,cold,寒冷的
1,collect,收集
1,color,顏色
1,come,來
1,comfortable,舒服的
1,common,常見的
1,computer,電腦
1,convenient,方便的
1,cook,廚師
1,cookie,餅乾
1,cool,涼爽的
1,copy,複製
1,corner,角落
1,correct,正確的
1,cost,成本
1,couch,長椅
1,count,數數
1,country,國家
1,course,課程
1,cousin,表哥
1,cover,覆蓋
1,cow,乳牛
1,crazy,瘋狂的
1,cross,叉
1,cry,哭
1,cup,杯子
1,cut,切
1,cute,可愛的
1,dance,舞蹈
1,dangerous,危險的
1,dark,黑暗的
1,date,日期
1,daughter,女兒
1,day,天
1,dead,死的
1,deal,交易
1,dear,親愛的
1,death,死亡
1,decide,決定
1,deep,深的
1,define,定義
1,desk,桌子
1,dictionary,字典
1,die,死
1,different,不同的
1,difficult,難的
1,dig,挖
1,dinner,晚餐
1,dirty,骯髒的
1,dish,盤子
1,do,做
1,doctor/doc,醫生/醫生
1,dog,狗
1,doll,玩具娃娃
1,dollar,美元
1,door,門
1,down,向下
1,dozen,打
1,draw,畫
1,dream,夢
1,dress,裙子
1,drink,喝
1,drive,駕駛
1,driver,司機
1,drop,降低
1,drum,鼓
1,dry,乾燥
1,duck,鴨子
1,during,期間
1,each,每個
1,ear,耳朵
1,early,早期的
1,earth,地球
1,east,東方
1,easy,簡單的
1,eat,吃
1,egg,蛋
1,either,任何一個
1,elephant,大象
1,else,別的
1,email,電子郵件
1,end,結尾
1,engineer,工程師
1,enjoy(ment),享受）
1,enough,足夠的
1,enter,進入
1,envelope,信封
1,eraser,橡皮
1,error,錯誤
1,even,甚至
1,evening,晚上
1,ever,曾經
1,every,每一個
